0        1        2        3        4        5        6        7
01000011 11100010 00011000 11101100 00111001 10010011 00101101 00110111
11000011 11100100 00011000 11101100 00111001 10010011 01101111 00010111
11000011 11100110 00011100 11101100 00111001 10010011 01101101 00110111
11000011 11010000 00011100 11101100 00111001 10011011 00101111 00010111
11000011 11010010 00011000 11101100 00111001 10011011 00110101 00110111
01000001 11010100 00011000 11101100 00111000 10001011 01110011 00010111
01000001 11010110 00011100 11101100 00111000 10001011 01110001 00110111
01000001 11010000 00011100 11101100 00111000 10000011 00110011 00010111
01000001 11010010 00011000 11101100 00111000 10000011 00111001 00110111
11000001 11010100 00011000 11101100 00111000 10000011 01111011 00010111
11000001 11010110 00011100 11101100 00111000 10000011 01111001 00110111
11000001 11000000 00011100 11101100 00111000 10001011 00111011 00010111
11000001 11000010 00011000 11101100 00111000 10001011 00100001 00010111
11000001 11000100 00011000 11101100 00111000 10001011 00100011 00110111
01000001 11000110 01011100 11101100 00111001 10111011 01100001 00010111
01000001 11000000 01011100 11101100 00111001 10110011 01100011 00110111
01000001 11000010 01011000 11101100 00111001 10110011 00101001 00010111
01000001 11000100 01011000 11101100 00111001 10110011 00101011 00110111
11000001 11000110 01011100 11101100 00111001 10110011 01101001 00010111
11000001 10110000 01011100 11101100 00111001 10111011 01101011 00110111
11000001 10110010 01011000 11101100 00111001 10111011 00110001 00010111
11000001 10110100 01011000 11101100 00111001 10111011 00110011 00110111
01000011 10110110 01011100 11101100 00111000 10101011 01110001 00010111
01000011 10110000 01011100 11101100 00111000 10100011 01110011 00110111
01000011 10110010 01011000 11101100 00111000 10100011 00111001 00010111
01000011 10110100 01011000 11101100 00111000 10100011 00111011 00110111
11000011 10110110 01011100 11101100 00111000 10100011 01111001 00010111
11000011 10100000 01011100 11101100 00111000 10101011 01111011 00110111
11000011 10100010 01011000 11101100 00111000 10101011 01100001 00110111
11000011 10100100 01011000 11101100 00111000 10101011 00100011 00010111
11000011 10100110 01011100 11101100 00111000 10101011 00100001 00110111
01000011 10100000 01011100 11101100 00111001 10010011 01100011 00010111
01000011 10100010 01011000 11101100 00111001 10010011 01101001 00110111
01000011 10100100 01011000 11101100 00111001 10010011 00101011 00010111
01000011 10100110 01011100 11101100 00111001 10010011 00101001 00110111
11000011 10010000 01011100 11101100 00111001 10011011 01101011 00010111
11000011 10010010 01011000 11101100 00111001 10011011 01110001 00110111
11000011 10010100 01011000 11101100 00111001 10011011 00110011 00010111
11000011 10010110 01011100 11101100 00111001 10011011 00110001 00110111
01000001 10010000 01011100 11101100 00111000 10010011 01110111 00011111
01000001 10010010 01011000 11101100 00111000 10010011 01111101 00111111
01000001 10010100 01011000 11101100 00111000 10010011 00111111 00011111
01000001 10010110 01011100 11101100 00111000 10010011 00111101 00111111
11000001 10000000 01011100 11101100 00111000 10011011 01111111 00011111
11000001 10000010 01011000 11101100 00111000 10011011 01100101 00011111
11000001 10000100 01011000 11101100 00111000 10011011 01100111 00111111
11000001 10000110 01011100 11101100 00111000 10011011 00100101 00011111
11000001 10000000 01011100 11101100 00111000 10010011 00100111 00111111
01000001 10000010 01011000 11101100 00111001 10000011 01101101 00011111
01000001 10000100 01011000 11101100 00111001 10000011 01101111 00111111
01000001 10000110 01011100 11101100 00111001 10000011 00101101 00011111
01000001 11110000 01011100 11101100 00111001 10001011 10101111 00111111
11000001 11110010 01011000 11101100 00111001 10001011 11110101 00011111
11000001 11110100 01011000 11101100 00111001 10001011 11110111 00111111
11000001 11110110 01011100 11101100 00111001 10001011 10110101 00011111
11000001 11110000 01011100 11101100 00111001 10000011 10110111 00111111
01000011 11110010 00011000 11101100 10111000 10110011 11111100 00011111
01000011 11110100 00011000 11101100 10111000 10110011 11111110 00111111
01000011 11110110 00011100 11101100 10111000 10110011 10111100 00011111
01000011 11100000 00011100 11101100 10111000 10111011 10111110 00111111
01000011 11100010 00011000 11101100 10111000 10111011 10100100 00111111
11000011 11100100 00011000 11101100 10111000 10111011 11100110 00011111
11000011 11100110 00011100 11101100 10111000 10111011 11100100 00111111
11000011 11100000 00011100 11101100 10111000 10110011 10100110 00011111
11000011 11100010 00011000 11101100 10111000 10110011 10101100 00111111
01000011 11100100 00011000 11101100 10111001 10100011 11101110 00011111
01000011 11100110 00011100 11101100 10111001 10100011 11101100 00111111
01000011 11010000 00011100 11101100 10111001 10101011 10101110 00011111
01000011 11010010 00011000 11101100 10111001 10101011 10110100 00111111
11000011 11010100 00011000 11101100 10111001 10101011 11110110 00011111
11000011 11010110 00011100 11101100 10111001 10101011 11110100 00111111
11000011 11010000 00011100 11101100 10111001 10100011 10110110 00011111
11000011 11010010 00011000 11101100 10111001 10100011 10111100 00111111
01000001 11010100 00011000 11101100 10111000 10010011 11111010 00011111
01000001 11010110 00011100 11101100 10111000 10010011 11111000 00111111
01000001 11000000 00011100 11101100 10111000 10011011 10111010 00011111
01000001 11000010 00011000 11101100 10111000 10011011 10100000 00011111
01000001 11000100 00011000 11101100 10111000 10011011 10100010 00111111
11000001 11000110 00011100 11101100 10111000 10011011 11100000 00011111
11000001 11000000 00011100 11101100 10111000 10010011 11100010 00111111
11000001 11000010 00011000 11101100 10111000 10010011 10101000 00011111
11000001 11000100 00011000 11101100 10111000 10010011 10101010 00111111
01000001 11000110 00011100 11101100 10111001 10000011 11101000 00011111
01000001 10110000 00011100 11101100 10111001 10001011 11101010 00111111
01000001 10110010 00011000 11101100 10111001 10001011 10110000 00011111
01000001 10110100 00011000 11101100 10111001 10001011 10110010 00111111
11000001 10110110 00011100 11101100 10111001 10001011 11110000 00011111
11000001 10110000 00011100 11101100 10111001 10000011 11110010 00111111
11000001 10110010 00011000 11101100 10111001 10000011 10111000 00011111
11000001 10110100 00011000 11101100 10111001 10000011 10111010 00111111
01000011 10110110 01011100 11101100 10111000 10110011 11111000 00011111
01000011 10100000 01011100 11101100 10111000 10111011 11111010 00111111
01000011 10100010 01011000 11101100 10111000 10111011 11100000 00111111
01000011 10100100 01011000 11101100 10111000 10111011 10100010 00011111
01000011 10100110 01011100 11101100 10111000 10111011 10100000 00111111
11000011 10100000 01011100 11101100 10111000 10110011 11100010 00011111
11000011 10100010 01011000 11101100 10111000 10110011 11101000 00111111
11000011 10100100 01011000 11101100 10111000 10110011 10101010 00011111
11000011 10100110 01011100 11101100 10111000 10110011 10101000 00111111
01000011 10010000 01011100 11101100 10111001 10101011 11101010 00011111
01000011 10010010 01011000 11101100 10111001 10101011 11110000 00111111
01000011 10010100 01011000 11101100 10111001 10101011 10110010 00011111
01000011 10010110 01011100 11101100 10111001 10101011 10110000 00111111
11000011 10010000 01011100 11101100 10111001 10100011 11110010 00011111
11000011 10010010 01011000 11101100 10111001 10100011 11111000 00111111
11000011 10010100 01011000 11101100 10111001 10100011 10111010 00011111
11000011 10010110 01011100 11101100 10111001 10100011 10111000 00111111
01000001 10000000 01011100 11101100 10111000 10011011 11111110 00010111
01000001 10000010 01011000 11101100 10111000 10011011 11100100 00010111
01000001 10000100 01011000 11101100 10111000 10011011 11100110 00110111
01000001 10000110 01011100 11101100 10111000 10011011 10100100 00010111
01000001 10000000 01011100 11101100 10111000 10010011 10100110 00110111
11000001 10000010 01011000 11101100 10111000 10010011 11101100 00010111
11000001 10000100 01011000 11101100 10111000 10010011 11101110 00110111
11000001 10000110 01011100 11101100 10111000 10010011 10101100 00010111
11000001 11110000 01011101 11100100 10111010 10011111 00101110 00110111
01000001 11110010 01011001 11100100 10111011 10001111 01110100 00010111
01000001 11110100 01011001 11100100 10111011 10001111 01110110 00110111
01000001 11110110 01011101 11100100 10111011 10001111 00110100 00010111
01000001 11110000 01011101 11100100 10111011 10000111 00110110 00110111
11000001 11110010 01011001 11100100 10111011 10000111 01111100 00010111
11000001 11110100 01011001 11100100 10111011 10000111 01111110 00110111
11000001 11110110 01011101 11100100 10111011 10000111 00111100 00010111
11000001 11100000 01011101 11100100 10111011 10001111 00111110 00110111
11000001 11100010 01011001 11100100 10111011 10001111 00100100 00110111
01000011 11100100 00011001 11100100 00111010 10111111 01100110 00010111
01000011 11100110 00011101 11100100 00111010 10111111 01100100 00110111
01000011 11100000 00011101 11100100 00111010 10110111 00100110 00010111
01000011 11100010 00011001 11100100 00111010 10110111 00101100 00110111
11000011 11100100 00011001 11100100 00111010 10110111 01101110 00010111
11000011 11100110 00011101 11100100 00111010 10110111 01101100 00110111
11000011 11010000 00011101 11100100 00111010 10111111 00101110 00010111
11000011 11010010 00011001 11100100 00111010 10111111 00110100 00110111
01000011 11010100 00011001 11100100 00111011 10101111 01110110 00010111
01000011 11010110 00011101 11100100 00111011 10101111 01110100 00110111
01000011 11010000 00011101 11100100 00111011 10100111 00110110 00010111
01000011 11010010 00011001 11100100 00111011 10100111 00111100 00110111
11000011 11010100 00011001 11100100 00111011 10100111 01111110 00010111
11000011 11010110 00011101 11100100 00111011 10100111 01111100 00110111
11000011 11000000 00011101 11100100 00111011 10101111 00111110 00010111
11000011 11000010 00011001 11100100 00111011 10101111 00100100 00010111
11000011 11000100 00011001 11100100 00111011 10101111 00100110 00110111
01000001 11000110 00011101 11100100 00111010 10011111 01100000 00010111
